"","x"
"DTX1:NM_008052",-3.32932156601168
"DLL1:NM_007865",-2.2383996302044
"IL2RA:NM_008367",-1.53241139945422
"EPAS1:NM_010137",-1.38592329795734
"RUNDC3B:NM_198620",-1.32339627146762
"HES1:NM_008235",-1.10320484481804
"AHR:NM_013464",-1.10146116377645
"MYC:NM_010849:NM_001177353:NM_001177354:NM_001177352",-1.0764779831396
"TMED5:NM_028876",-1.02098258868429
"ARHGAP5:NM_009706",-1.0152295978435
"TMEM108:NM_178638",-1.00014829934656
"ACTA2:NM_007392",1.0000551492269
"MORF4L2:NM_001168225:NM_001168226:NM_001168229:NM_019768:NM_001168227:NM_001168228:NM_001168230",-0.960288755625419
"SYNCRIP:NM_019796:NM_019666",-0.954585904191861
"DEPDC6:NM_145470:NM_001037937",-0.932594985181126
"AW011738:NR_030671",-0.929458512311194
"GLS:NM_001081081:NM_001113383",-0.916013470042537
"SLC7A5:NM_011404",-0.89503050159914
"CXCL12:NM_021704:NM_013655:NM_001012477",0.873943863004741
"ABCB1B:NM_011075",-0.833129687809265
"D030028A08RIK:NR_003293",-0.82653770073299
"NOTCH1:NM_008714",-0.825224492385679
"LY6D:NM_010742",-0.814613061577103
"IL12RB2:NM_008354",-0.811980025013017
"POLR1B:NM_009086",-0.784958191494596
"TAGLN:NM_011526",0.782522291963111
"FBL:NM_007991",-0.776621344793113
"BC016423:NM_134063",-0.766165603979974
"GNL3:NM_153547",-0.764784723585253
"TIMP3:NM_011595",0.76171344717401
"D1ERTD622E:NM_133825",-0.756237168793609
"SRGN:NM_011157",-0.752565131982387
"GAR1:NM_026578",-0.750571307846165
"TRIM59:NM_025863",-0.747178484926834
"ZFP758:NM_145484",-0.738909598105774
"NOTCH3:NM_008716",-0.738787559384982
"1110002B05RIK:NM_134054",-0.731381540738004
"TMX3:NM_198295",-0.730640931347184
"MYO1F:NM_053214",0.727952647311743
"NR_033498:NR_033498",-0.721990818971697
"PPRC1:NM_001081214",-0.710338420029212
"LARP4:NM_001080948:NM_001024526",-0.704002069417482
"SH3BGRL:NM_019989",-0.701728387031913
"D8ERTD82E:NM_172911",-0.698117855379287
"EIF1A:NM_010120",-0.693301745281836
"MTHFD1:NM_138745",-0.689011535176033
"TSR1:NM_177325",-0.684641378185028
"RASAL1:NM_013832",-0.68316556974347
"TRP53INP1:NM_021897",-0.677701172256765
"NOL8:NM_001081350",-0.677297157565783
